Inscrits,% Abs/Ins,LE PEN,MACRON,Code Insee
116,13.79,65.17,34.83,02367
392,17.35,51.21,48.79,02368
187,19.79,62.31,37.69,02369
380,15.53,58.92,41.08,02370
1143,21.17,45.17,54.83,02371
236,19.07,59.54,40.46,02372
205,18.05,59.86,40.14,02373
572,16.43,65.69,34.31,02374
101,22.77,56.34,43.66,02375
119,31.93,56.52,43.48,02376
108,17.59,50.6,49.4,02377
123,16.26,60.2,39.8,02378
191,17.28,59.42,40.58,02379
34,29.41,47.83,52.17,02380
6470,35.29,54.68,45.32,02381
1057,18.54,50.2,49.8,02382
1125,20.0,42.32,57.68,02383
46,10.87,64.1,35.9,02384
129,16.28,66.67,33.33,02385
163,17.18,65.52,34.48,02386
899,18.35,44.8,55.2,02387
151,19.21,68.75,31.25,02388
483,26.29,52.79,47.21,02389
184,15.22,58.87,41.13,02390
143,17.48,58.88,41.12,02391
270,15.56,66.02,33.98,02392
107,19.63,48.61,51.39,02393
125,19.2,51.11,48.89,02395
37,27.03,52.0,48.0,02396
929,26.91,64.77,35.23,02397
217,21.2,63.29,36.71,02398
375,19.47,57.61,42.39,02399
109,13.76,70.59,29.41,02400
156,17.95,73.45,26.55,02401
44,13.64,61.76,38.24,02402
221,19.46,67.07,32.93,02403
142,19.01,58.49,41.51,02404
415,19.76,50.86,49.14,02405
106,23.58,43.28,56.72,02406
140,18.57,54.55,45.45,02407
15346,32.83,42.34,57.66,02408
212,19.34,56.67,43.33,02409
184,29.35,31.82,68.18,02410
159,20.13,64.17,35.83,02411
75,8.0,60.32,39.68,02412
193,9.84,56.77,43.23,02413
