Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des rés. principales construites avant 1946 2016;Part des rés. principales dans le total des logements 2016;Part des rés. secondaires (y compris les logements occasionnels) dans le total des logements 2016;Part des logements vacants dans le total des logements 2016;Part des appartements dans le total des logements 2016;Part des maisons dans le total des logements 2016;Part des propriétaires dans les rés. principales 2016;Part des locataires dans les rés. principales 2016;Part des locataires HLM dans les rés. principales 2016
01329;Rossillon;90.2;61.7;27.8;10.5;3.8;96.2;79.3;19.5;0
01330;Ruffieu;51.9;63.7;23.9;12.4;10.7;89.3;72.7;23.4;2.6
01331;Saint-Alban;36;72;21.2;6.8;3.8;95.2;80;13.3;0
01332;Saint-André-de-Bâgé;9.5;94.7;2;3.3;3.2;95.8;83.7;15.9;9.5
01333;Saint-André-de-Corcy;9.2;95.1;1.2;3.7;35.1;64.9;65.5;32.8;15.2
01334;Saint-André-d'Huiriat;35.3;90.3;3.1;6.6;1.9;97.7;83.2;15.1;2.2
01335;Saint-André-le-Bouchoux;24.8;92.4;4.8;2.8;4.2;95.8;88;11.3;0
01336;Saint-André-sur-Vieux-Jonc;21.5;91.5;2.2;6.3;15.4;83.6;73.7;25.2;11.3
01337;Saint-Bénigne;23.7;89.5;3.2;7.3;4.2;95.7;77.5;22;3.9
01338;Groslée-Saint-Benoit;42.6;74.8;14.9;10.3;6.6;92.9;77.4;20.4;3
01339;Saint-Bernard;18;87.5;7.8;4.6;3.5;96.1;88.1;11.6;3.7
01342;Sainte-Croix;23.4;90.8;8.3;0.9;5.1;94.5;79.7;16.7;2
01343;Saint-Cyr-sur-Menthon;25;93.2;1.4;5.4;7;92.7;75.5;23.9;8.1
