Inscrits;Nuls;Votants;Code Insee;ARTHAUD;ROUSSEL;JADOT;DUPONT-AIGNAN;ZEMMOUR;PECRESSE;LASSALLE;LE PEN;MACRON;MÉLENCHON;POUTOU;HIDALGO
523;2;455;37057;0.23;0.68;0.0;7.73;23.86;5.91;1.59;24.55;15.45;17.27;2.73;5.19
1186;8;959;37058;0.97;1.18;0.32;6.34;19.25;4.52;0.65;32.37;17.2;16.45;0.75;6.27
994;7;845;37059;0.73;0.86;0.24;6.36;21.79;5.51;0.37;15.54;32.56;15.18;0.86;6.58
987;1;849;37060;0.48;0.36;0.36;5.88;18.94;5.64;0.72;22.06;25.42;18.94;1.2;6.4
412;15;364;37061;1.15;0.0;0.0;7.74;24.64;4.58;2.87;22.92;24.93;10.32;0.86;2.22
1268;6;996;37062;0.51;0.41;0.1;5.64;27.69;4.72;0.51;28.62;18.67;12.41;0.72;4.29
3699;29;2646;37063;1.05;1.09;0.08;5.42;16.5;5.97;0.98;27.55;18.53;21.03;1.79;4.63
197;2;170;37064;0.0;0.61;0.0;4.88;13.41;4.88;1.22;22.56;31.71;18.29;2.44;7.58
465;3;380;37065;1.64;0.55;0.27;6.28;21.86;5.19;1.37;30.87;16.94;13.39;1.64;8.87
411;1;344;37066;0.0;0.6;0.0;6.87;19.7;6.27;0.6;21.79;25.37;18.21;0.6;5.57
1251;16;1088;37067;0.86;0.76;0.1;5.72;18.02;6.58;0.86;19.35;23.64;21.83;2.29;3.53
519;1;428;37068;0.47;0.47;0.0;6.16;27.25;6.4;0.95;27.01;13.74;15.64;1.9;6.32
226;0;186;37069;0.0;0.0;0.0;7.22;34.44;2.22;1.11;14.44;22.78;16.67;1.11;5.86
262;3;217;37070;0.95;0.0;0.0;6.67;24.76;4.29;2.38;23.33;21.43;15.24;0.95;5.76
124;0;110;37071;0.93;2.78;0.0;4.63;30.56;4.63;1.85;18.52;23.15;12.96;0.0;5.92
6260;23;4842;37072;0.91;0.78;0.15;4.75;18.95;7.58;0.84;18.12;23.68;22.9;1.33;6.06
499;2;424;37073;1.2;0.48;0.0;6.24;23.02;8.87;0.0;27.34;16.07;14.63;2.16;3.44
1481;10;1173;37074;0.78;1.05;0.26;4.97;20.21;5.57;0.96;31.18;18.21;15.59;1.22;3.53
313;2;263;37075;0.78;0.0;0.39;8.24;19.61;3.53;1.96;29.02;17.65;17.25;1.57;6.74
322;2;277;37076;0.74;0.37;0.74;4.46;15.61;6.32;0.74;20.07;20.82;27.88;2.23;4.17
2484;20;2056;37077;0.95;0.95;0.25;5.81;16.92;5.86;1.4;25.88;20.92;19.02;2.05;6.41
289;0;253;37078;3.7;0.0;0.0;7.0;14.4;5.76;0.82;30.04;15.64;20.58;2.06;4.73
1520;38;1255;37079;0.99;0.9;0.41;6.83;16.12;5.92;0.9;25.0;23.52;18.17;1.23;4.09
157;0;136;37080;2.27;0.0;0.76;4.55;10.61;6.06;0.76;33.33;18.18;21.97;1.52;3.85
992;4;862;37081;0.59;0.59;0.24;7.59;18.39;3.44;0.71;32.03;20.76;14.23;1.42;7.48
345;3;293;37082;1.41;1.06;0.0;4.95;20.49;3.53;0.35;33.22;18.37;14.49;2.12;14.94
1251;12;1067;37083;1.15;0.58;0.19;5.87;19.15;6.74;0.67;17.9;24.16;21.56;2.02;4.92
390;3;321;37084;1.6;0.32;0.32;3.85;30.77;4.17;0.64;31.09;11.86;14.74;0.64;1.76
670;1;574;37085;0.53;2.14;0.18;5.87;22.95;6.41;0.71;20.64;22.6;17.08;0.89;5.87
353;2;285;37086;0.73;1.09;0.36;3.64;18.55;4.73;1.09;37.45;15.27;16.36;0.73;4.3
207;1;174;37087;0.58;0.58;0.0;2.92;32.75;4.09;1.17;27.49;15.79;14.62;0.0;6.25
97;1;80;37088;1.28;1.28;0.0;8.97;19.23;3.85;0.0;28.21;16.67;17.95;2.56;3.48
624;20;532;37089;0.2;0.0;0.2;3.74;31.3;7.48;1.97;16.73;20.28;16.93;1.18;5.91
103;0;88;37090;1.15;1.15;0.0;4.6;34.48;14.94;2.3;19.54;10.34;9.2;2.3;8.0
1803;9;1539;37091;1.4;0.66;0.33;5.71;21.4;4.92;0.73;21.79;21.86;19.8;1.4;7.09
